Goalie,Jersey,Team,GP,MIN,W,L,T,SO,GA,GAA,SV,SV%
Bryce Erb,30,Harrisburg Hustle (NBHL PHI),4,120:00:00,3,1,0,1,4,2,0,0
Robbie Snyder,31,Lakeland Caribou (NBHL NJ),4,120:00:00,2,2,0,1,5,2.5,0,0
Jordan Loftis,2,Arlington Plague (NBHL D.C),5,199:28:00,3,2,0,0,10,3.01,0,0
Tyler Fischetti,29,Penn Hills Imperium (NBHL PIT),6,180:00:00,5,1,0,1,10,3.33,0,0
Ryan Clifford,29,Providence Iron Stags (NBHL NE),4,120:00:00,2,2,0,0,7,3.5,0,0
Tim Papagno,30,Marlton Dawgz (NBHL NJ),5,153:46:00,3,2,0,1,10,3.9,0,0
Ray Tobias,50,Chicago Southsiders (NBHL CHI),4,138:00:00,2,2,0,1,9,3.91,0,0
Edward Dymec,1,Orange County Wolves (NBHL Cal),6,183:38:00,3,3,0,1,12,3.92,0,0
Declan Moffett,84,Pittsburgh Pioneers (NBHL PIT),7,212:41:00,4,3,0,1,15,4.23,0,0
Brian Gradziel,30,Mays Landing Mojo (NBHL NJ(2)),6,182:10:00,5,1,0,1,13,4.28,0,0
Logan Bergeron,90,Cleghorn Crooks (NBHL MA),5,153:00:00,4,1,0,3,12,4.71,0,0
Scot Flanagan,1,Seattle Cold Snacks (NBHL PNW),4,120:00:00,1,3,0,0,12,6,0,0
Brandon Floret,79,Buffalo 716ers (NBHL BUF),4,121:55:00,3,1,0,0,14,6.89,0,0
Brandon Junik,42,Buffalo Goodfellas (NBHL BUF),4,120:00:00,0,4,0,0,16,8,0,0
Zach Marquis,31,Central Mass Sea Bass (NBHL MA),5,150:00:00,1,4,0,1,21,8.4,0,0
Taylor Dennard,33,Austin Arsenal (NBHL TX),4,135:00:00,0,4,0,0,24,10.67,0,0
Jason Rocha,1,Southcoast Scrappers (NBHL NE),4,120:00:00,0,4,0,0,27,13.5,0,0
Robby Mangini,72,Mid Jersey Mutants (NBHL NJ(2)),1,45:00:00,0,1,0,0,7,9.33,0,0
