Player,Jersey,Team,GP,G,A,PTS,PIM,PPG
Korey Wilson,72,Cleghorn Crooks (NBHL MA),5,7,5,12,0,0
AJ Goetz,14,Arlington Plague (NBHL D.C),5,4,6,10,0,0
Brenden Persichetti,43,Penn Hills Imperium (NBHL PIT),6,4,5,9,4,0
Jack Kendall,12,Cleghorn Crooks (NBHL MA),5,1,8,9,8,0
Denny Schlegel,28,Buffalo 716ers (NBHL BUF),4,5,3,8,0,0
Sean Joyce,20,Arlington Plague (NBHL D.C),5,4,4,8,2,0
Vincent Talbot,27,Arlington Plague (NBHL D.C),5,3,5,8,0,0
Anthony Migliozzi,9,Pittsburgh Pioneers (NBHL PIT),7,3,4,7,6,0
Austin Avampato,81,Penn Hills Imperium (NBHL PIT),6,3,4,7,2,0
Brendan Crousey,14,Penn Hills Imperium (NBHL PIT),6,4,3,7,0,0
Brendan Keller,23,Harrisburg Hustle (NBHL PHI),4,3,4,7,6,0
Josh Jaszcz,13,Buffalo 716ers (NBHL BUF),4,2,5,7,0,0
Owen Mills,91,Penn Hills Imperium (NBHL PIT),6,4,3,7,7,0
Scott Shinn,7,Orange County Wolves (NBHL Cal),6,5,2,7,0,0
Tyler Midwinter,8,Arlington Plague (NBHL D.C),5,4,3,7,0,0
Blake Biren,34,Mays Landing Mojo (NBHL NJ(2)),6,4,2,6,0,0
Brandon Jones,13,Cleghorn Crooks (NBHL MA),5,3,3,6,2,0
Cam Cordio,91,Cleghorn Crooks (NBHL MA),5,1,5,6,0,0
Connor Callahan,16,Mays Landing Mojo (NBHL NJ(2)),6,4,2,6,0,0
Eddie Urban,9,Chicago Southsiders (NBHL CHI),4,4,2,6,0,0
Marky Bergamasco,8,Penn Hills Imperium (NBHL PIT),6,4,2,6,4,0
Mike Malloy,97,Lakeland Caribou (NBHL NJ),4,3,3,6,0,0
Phil Klitirinos,23,Seattle Cold Snacks (NBHL PNW),4,3,3,6,2,0
Steve Gregory,23,Pittsburgh Pioneers (NBHL PIT),7,3,3,6,0,0
Andrew Pruitt,6,Buffalo 716ers (NBHL BUF),4,0,5,5,0,0
