Goalie,Jersey,Team,GP,MIN,W,L,T,SO,GA,GAA,SV,SV%
Ryan Clifford,29,Providence Iron Stags (NBHL NE),5,152:48:00,4,1,0,3,3,1.18,49,0.942
Ray Tobias,50,Chicago Southsiders (NBHL CHI),3,90:00:00,3,0,0,1,2,1.33,0,0
Jordan Loftis,2,Arlington Plague (NBHL D.C),5,226:26:00,4,1,0,2,6,1.59,0,0
Robbie Snyder,31,Lakeland Caribou (NBHL NJ),4,124:49:00,3,1,0,1,4,1.92,55,0.932
Brandon Floret,79,Buffalo 716ers (NBHL BUF),4,120:00:00,4,0,0,1,5,2.5,0,0
Matt Marotta,35,Bellmawr Hawks (NBHL NJ),3,90:00:00,1,2,0,1,4,2.67,65,0.942
Taylor Dennard,33,Austin Arsenal (NBHL TX),4,120:00:00,3,1,0,2,6,3,50,0.893
Will Phifer,29,Maryland Sparks (NBHL D.C),6,272:21:00,3,3,0,0,16,3.52,0,0
Brian Gradziel,30,Mays Landing Mojo (NBHL NJ(2)),6,180:00:00,6,0,0,1,11,3.67,0,0
Tim Papagno,30,Marlton Dawgz (NBHL NJ),5,155:49:00,2,3,0,0,10,3.85,45,0.818
Jon Krause,5,Washington D.C Haze (NBHL D.C),3,137:21:00,1,2,0,0,10,4.37,0,0
Robby Mangini,72,Mid Jersey Mutants (NBHL NJ(2)),6,187:16:00,3,3,0,0,14,4.49,0,0
Paul Barrett,49,South Jersey Space Pirates (NBHL NJ(2)),5,157:01:00,3,2,0,1,12,4.59,0,0
Declan Moffett,84,Pittsburgh Pioneers (NBHL PIT),6,180:00:00,3,3,0,0,15,5,0,0
Neko Borghini,30,Penn Hills Battalion (NBHL PIT),3,92:06:00,2,1,0,0,8,5.21,33,0.805
Nick Salvatore,1,South Jersey Nights Watch (NBHL NJ),4,124:30:00,2,2,0,0,11,5.3,106,0.906
Billy Jacques,30,Chicago Raiders (NBHL CHI),3,90:00:00,1,2,0,0,8,5.33,0,0
Tyler Fischetti,29,Penn Hills Imperium (NBHL PIT),5,150:53:00,3,2,0,1,14,5.57,0,0
Logan Bergeron,90,Cleghorn Crooks (NBHL MA),6,182:59:00,5,1,0,0,18,5.9,0,0
Brandon Junik,42,Buffalo Goodfellas (NBHL BUF),4,120:00:00,2,2,0,0,12,6,0,0
Zach Marquis,31,Central Mass Sea Bass (NBHL MA),6,183:59:00,4,2,0,0,19,6.2,17,0.472
Josh Paiva,1,Southcoast Scrappers (NBHL NE),6,182:48:00,3,3,0,1,21,6.89,80,0.792
Craig Lombardi,42,Dallas Fort Worth Marksmen (NBHL TX),4,120:00:00,2,2,0,1,14,7,59,0.808
Jeff Clem,33,South Jersey Best Friends (NBHL NJ(2)),4,120:00:00,2,2,0,0,15,7.5,0,0
Joe Sheehan,31,Penn Hills Battalion (NBHL PIT),3,88:53:00,1,2,0,0,14,9.45,23,0.622
Mike Roginsky,0,Pitcairn Governors (NBHL PIT),4,114:05:00,2,2,0,0,18,9.47,21,0.538
Andrew Grivnovics,16,Philadelphia Heat (NBHL PHI),2,60:00:00,1,1,0,0,4,4,0,0
Anthony Firmani,1,Twin City Classics (NBHL MA),1,30:00:00,0,1,0,0,5,10,0,0
Brandon Petticord,1,Mon Valley Warbirds (NBHL PIT),1,32:06:00,0,1,0,0,4,7.48,0,0
Brendt Winters,0,South Sound Sabercats (NBHL PNW),1,30:00:00,0,1,0,0,8,16,0,0
Brian Sullivan,30,South Shore Shamrocks (NBHL NE),1,30:00:00,0,1,0,0,1,2,0,0
Bryce Erb,30,Harrisburg Hustle (NBHL PHI),2,60:00:00,2,0,0,2,0,0,0,0
Bryce Scanlon,80,Penn Hills Imperium (NBHL PIT),1,30:00:00,1,0,0,0,1,2,0,0
Chris Bonanca,40,Rhode Island Angry Goats (NBHL NE),2,60:00:00,0,2,0,0,8,8,76,0.905
Darren Singh,0,Seattle Leafs (NBHL PNW),2,60:00:00,1,1,0,1,9,9,0,0
Devin Chiero,1,Las Vegas Shiners (NBHL Cal),1,30:00:00,0,1,0,0,8,16,0,0
