Player,Jersey,Team,GP,G,A,PTS,PIM,PPG
Connor Callahan,16,Mays Landing Mojo (NBHL NJ(2)),6,10,6,16,2,0
Jack Kendall,12,Cleghorn Crooks (NBHL MA),6,3,10,13,0,0
Sean Joyce,20,Arlington Plague (NBHL D.C),5,7,5,12,4,0
Mike Brandimarto,13,Austin Arsenal (NBHL TX),4,4,7,11,0,0
Evan Souza,5,Providence Iron Stags (NBHL NE),5,2,8,10,4,0
Vinnie Tumminello,4,Penn Hills Battalion (NBHL PIT),6,5,5,10,2,0
Adam Jacque,9,Austin Arsenal (NBHL TX),4,4,5,9,0,0
Austin Avampato,81,Penn Hills Imperium (NBHL PIT),6,7,2,9,16,0
Joel Thompson,22,Mays Landing Mojo (NBHL NJ(2)),6,1,8,9,0,0
Korey Sweeney,7,Penn Hills Battalion (NBHL PIT),6,5,4,9,4,0
Korey Wilson,72,Cleghorn Crooks (NBHL MA),6,5,4,9,0,0
Mike Liberty,19,Mays Landing Mojo (NBHL NJ(2)),6,3,6,9,0,0
Brandon Garneau,88,Cleghorn Crooks (NBHL MA),6,4,4,8,0,0
Denny Schlegel,28,Buffalo 716ers (NBHL BUF),4,4,4,8,0,0
Evan Benedict,54,South Jersey Nights Watch (NBHL NJ),4,6,2,8,0,0
Justin Romano,9,South Jersey Space Pirates (NBHL NJ(2)),5,3,5,8,0,0
Matthew Altomare,77,Mid Jersey Mutants (NBHL NJ(2)),7,6,2,8,4,0
Sam Bowles,24,Maryland Sparks (NBHL D.C),6,5,3,8,2,0
Vincent Talbot,27,Arlington Plague (NBHL D.C),5,5,3,8,2,0
AJ Goetz,14,Arlington Plague (NBHL D.C),5,3,4,7,2,0
Andrew Hildreth,32,Central Mass Sea Bass (NBHL MA),6,4,3,7,4,0
Anquan Smith,16,Penn Hills Imperium (NBHL PIT),5,1,6,7,10,0
Brendan Crousey,14,Penn Hills Imperium (NBHL PIT),6,6,1,7,0,0
Jason Pineo,12,Buffalo Goodfellas (NBHL BUF),4,3,4,7,0,0
Jon Hill,19,Buffalo Goodfellas (NBHL BUF),4,4,3,7,2,0
Marty Bell,68,South Jersey Best Friends (NBHL NJ(2)),4,1,6,7,0,0
Ricky Morang,88,Providence Iron Stags (NBHL NE),5,5,2,7,2,0
Riley Drew,5,Central Mass Sea Bass (NBHL MA),6,3,4,7,0,0
Tyler Midwinter,8,Arlington Plague (NBHL D.C),5,2,5,7,2,0
Wade Wylie,9,Seattle Leafs (NBHL PNW),2,5,2,7,0,0
Chris Chambers,11,Maryland Sparks (NBHL D.C),6,2,4,6,17,0
Cory Fredrickson,81,Cleghorn Crooks (NBHL MA),5,2,4,6,0,0
Denis Hickey,13,Marlton Dawgz (NBHL NJ),5,2,4,6,4,0
Ed Botelho,11,Providence Iron Stags (NBHL NE),5,1,5,6,0,0
Jeremy Wargin,29,Chicago Southsiders (NBHL CHI),3,3,3,6,0,0
