Goalie,Jersey,Team,GP,MIN,W,L,T,SO,GA,GAA,SV,SV%
Kenny Jones,0,Bay Area Bashers (NBHL Cal),3,90:00:00,3,0,0,3,0,0,17,1
Nic Peterson,1,Bay Area Bashers (NBHL Cal),6,180:00:00,6,0,0,6,0,0,30,1
Bryce Scanlon,80,Penn Hills Imperium (NBHL PIT),3,90:00:00,3,0,0,2,1,0.67,28,0.966
Scot Flanagan,1,Seattle Cold Snacks (NBHL PNW),10,300:00:00,10,0,0,7,4,0.8,0,0
Edward Dymec,1,Orange County Wolves (NBHL Cal),4,95:00:00,2,0,2,3,2,1.26,9,0.818
Aaron Portillo,66,Orange County Wolves (NBHL Cal),5,135:00:00,3,2,0,2,4,1.78,12,0.75
Ryan Clifford,29,Providence Iron Stags (NBHL NE),9,270:00:00,9,0,0,3,8,1.78,132,0.943
Joey Corcoran,0,Harrisburg Hustle (NBHL PHI),3,90:00:00,3,0,0,1,3,2,0,0
Sean Thompson,31,SoCal Royalty (NBHL Cal),7,210:00:00,5,2,0,3,7,2,25,0.781
Shane Kopkie,30,Portland Golden Eagles (NBHL PNW),4,120:00:00,3,1,0,2,4,2,0,0
Billy Gardynski,1,Boston Ball Hockey Team (NBHL MA),6,180:00:00,6,0,0,3,7,2.33,101,0.935
Brandon Floret,79,Buffalo 716ers (NBHL BUF),6,180:00:00,6,0,0,3,7,2.33,62,0.899
Hunter McAdams,1,Red River Hot Sauce (NBHL TX),5,150:00:00,5,0,0,2,6,2.4,102,0.944
Joe Copella,97,Buffalo 716ers (NBHL BUF),4,120:00:00,4,0,0,1,5,2.5,48,0.906
Matthew Gilchrest,35,Boston Ball Hockey Team (NBHL MA),4,120:00:00,3,1,0,1,5,2.5,76,0.938
Paul Barrett,49,South Jersey Space Pirates (NBHL NJ(2)),10,301:32:00,9,1,0,4,13,2.59,0,0
Brian Gradziel,30,Mays Landing Mojo (NBHL NJ(2)),9,270:00:00,6,3,0,3,12,2.67,0,0
Ray Tobias,50,Chicago Southsiders (NBHL CHI),10,305:00:00,9,1,0,3,14,2.75,0,0
Jon Krause,5,Washington D.C Haze (NBHL D.C),10,455:00:00,6,4,0,1,21,2.77,0,0
