Rank,Player,Jersey,Team,Division,Tier,GP,G,A,PTS,PIM,PPG
1,Eric Bell,10,Maple Shade Chiefs,South Jersey 2,Tier 2,10,17,11,28,0,2.8
2,Sam Eisenberg,24,Long Island Sound,North Jersey 2,Tier 2,16,7,21,28,0,1.75
3,Jordan Albright,97,Steel City Show Stoppers,Pittsburgh,Tier 1,10,13,14,27,0,2.7
4,Ben Smith,17,Maple Shade Chiefs,South Jersey 2,Tier 2,10,15,10,25,3,2.5
5,Zach Buckland,11,Winchendon Norsemen,Massachusetts 2,Tier 2,10,19,5,24,0,2.4
6,PJ Biagetti,9,Cranberry Apocalypse,Pittsburgh 2,Tier 2,8,17,7,24,4.5,3
7,Brandon Kwasny,0,Long Island Sound,North Jersey 2,Tier 2,16,14,9,23,0,1.44
8,Josh Lodatto,21,Red River Rougarou,Texas 3,Tier 3,12,7,16,23,0,1.92
9,Jeff Lanaido,91,North Jersey Hired Guns,North Jersey 2,Tier 2,13,13,9,22,0,1.69
10,Ethan Alter,78,Clifton Red Bulls,North Jersey 2,Tier 2,9,11,11,22,0,2.44
11,Dillon Gavazzoni,11,Seattle Cold Snacks,Pacific Northwest 3,Tier 3,12,9,13,22,14,1.83
12,Macky  Osherow,16,South Jersey Majestic,South Jersey 2,Tier 2,10,9,13,22,3,2.2
13,Marty Bell,68,Maple Shade Chiefs,South Jersey 2,Tier 2,10,6,16,22,1.5,2.2
14,Mike Brandimarto,66,Austin Arsenal,Texas 3,Tier 3,12,13,8,21,0,1.75
15,AJ Goetz,14,Arlington Plague,Washington DC,Tier 2,11,7,14,21,16.5,1.91
16,Ben Morgan,44,Hudson Saints,North Jersey 2,Tier 2,12,6,15,21,0,1.75
17,Nick Kilcourse,21,Orlando Mutiny,Florida 2,Tier 2,12,15,5,20,3,1.67
18,Ryan Weiser,11,Columbus Counts,Indiana 3,Tier 3,10,11,9,20,1.5,2
19,Zach Mills,91,Washington DC Haze,Washington DC,Tier 2,10,11,9,20,1.5,2
